,Car Park,Weekdays  before 5/6pm,Weekdays  after 5/6pm,Saturdays,Sundays/Public Holidays
96,Square 2,7am-6pm: $2.38 for 1st hr; $1.19 for sub. ½ hr or part thereof,6.01pm to 6.59am: $2.70 per entry,7am-6pm: $2.38 for 1st hr; $1.19 for sub. ½ hr or part thereof,7am-6pm: $2.38 for 1st 4hrs; $1.19 for sub. ½ hr; 6.01pm to 6.59am: $2.70 per entry
97,Sun Plaza,7am-4.59pm: $1.39 for 1st hr; $0.75 for sub. ½ hr,5pm-10.59pm: $2.68 per entry; 11pm-6.59am: $3.96 per entry,7am-4.59pm: $1.39 for 1st hr; $0.75 for sub. ½ hr,7am-4.59pm: $1.39 for 1st hr; $0.75 for sub. ½ hr
98,Tekka Place,"7am-6pm: $2.00 for 1st hr, sub 30mins at $1.00. Grace Period 15mins",6pm-12am: $3.00 per entry 12am to 7am: $1.00 per 30mins. Grace Period 15mins,"7am-6pm: $2.00 for 1st hr, sub 30mins at $1.00. Grace Period 15mins","7am-6pm: $2.00 for 1st hr, sub 30mins at $1.00. Grace Period 15mins"
99,Thomson Plaza,"7am-11.59pm: $1.40 for 1st hr, $0.70 for sub ½ hr.",12am-6.59am: $5 per entry.,"7am-11.59pm: $1.50 for 1st hr, $0.75 for sub ½ hr. 12am-6.59am: $5 per entry.","7am-11.59pm: $1.50 for 1st hr, $0.75 for sub ½ hr. 12am-6.59am: $5 per entry."
100,Toa Payoh HDB Hub,7am-6pm: $0.60/30min,"6pm-10.30pm:$1.50/entry, 10.30pm-7am the following day:$5.00/entry",7am-6pm: $0.60/30min,"7am-10.30pm:$1.50/entry, 10.30pm-7am the following day:$5.00/entry"
101,United Square Shopping Mall,6am-6pm: $2.40 for 1st hr; $0.60 for sub. 15 mins,Aft 6pm: $2.60 per entry,6am-6pm: $2.40 for 1st hr; $0.60 for sub. 15 mins,6am-6pm: $2.40 for 1st hr; $0.60 for sub. 15 mins
102,Velocity @ Novena Square,6am-6pm: $2.40 for 1st hr or part thereof; $0.60 for sub. 15 mins.,After 6pm: $2.60 per entry,6am-6pm: $2.40 for 1st hr or part thereof; $0.60 for sub. 15 mins.,6am-6pm: $2.40 for 1st hr or part thereof; $0.60 for sub. 15 mins.
103,Waterway Point,6am-5.59am: $1.50 for 1st hr; $0.80 for sub. ½ hr or part thereof.,-,6am-5.59am: $1.60 for 1st hr; $0.80 for sub. ½ hr or part thereof.,6am-5.59am: $1.60 for 1st hr; $0.80 for sub. ½ hr or part thereof.
104,YewTee Point,$1.42 for 1st hr; $0.87 for sub. ½ hr or part thereof.,$1.42 for 1st hr; $0.87 for sub. ½ hr or part thereof.,$1.50 for 1st hr; $0.87 for sub. ½ hr or part thereof.,$1.50 for 1st hr; $0.87 for sub. ½ hr or part thereof.
105,Aperia,12am-6.29pm: $1.64 for 1st hr or part thereof; $1.09 for every sub. 15min or part thereof,6pm-5:59am: $2.50 per entry,12am-6.29pm: $1.64 for 1st hr or part thereof; $1.09 for every sub. 15min or part thereof,12am-6.29pm: $1.64 for 1st hr or part thereof; $1.09 for every sub. 15min or part thereof
106,Bedok Mall,"12am-5.59pm: $1.55 for 1st hr, $0.40 for sub. 15min",6pm-11.59pm: $2.60 per entry,"12am-5.59pm: $1.55 for 1st hr, $0.40 for sub. 15min","12am-5.59pm: $1.55 for 1st hr, $0.40 for sub. 15min"
107,Century Square,3.01am-6pm: $1.28 for 1st hr; $0.68 every 15min or part thereof.,6.01pm-3am: $2.57 per entry,3.01am-6pm: $1.40 for 1st hr; $0.35 every 15min or part thereof (for sub. 2nd hr); $0.43 every 15 min or part thereof (for 3nd hr onwards; 6.01pm-3am: $2.57 per entry.,3.01am-6pm: $1.40 for 1st hr; $0.35 every 15min or part thereof (for sub. 2nd hr); $0.43 every 15 min or part thereof (for 3nd hr onwards; 6.01pm-3am: $2.57 per entry.
108,Changi Airport Hub & Spoke Car Park (Open-air car park between T2 and JetQuay),"$0.035 per min. Capped at $35 per 24hrs. (Limited parking spaces and on a first-come, first-served basis)",-,"$0.035 per min. Capped at $35 per 24hrs. (Limited parking spaces and on a first-come, first-served basis)","$0.035 per min. Capped at $35 per 24hrs. (Limited parking spaces and on a first-come, first-served basis)"
109,Changi Airport T1/Jewel Car Park,Short-term Parking (B2M and B2): First 90 mins: $0.04/min; sub. 30min or part thereof: $5/30min. General Parking (B3 to B5) S$0.04/min,-,Short-term Parking (B2M and B2): First 90 mins: $0.04/min; sub. 30min or part thereof: $5/30min. General Parking (B3 to B5) S$0.04/min,Short-term Parking (B2M and B2): First 90 mins: $0.04/min; sub. 30min or part thereof: $5/30min. General Parking (B3 to B5) S$0.04/min
110,"Changi Airport T2, T3, T4 Car Parks A & B",$0.04/min (or $57.60 for 24 hours of parking),-,$0.04/min (or $57.60 for 24 hours of parking),$0.04/min (or $57.60 for 24 hours of parking)
111,Changi City Point,6.01am-6pm: $1.50 for 1st hr; $0.75 for sub. 30min,6.01pm-6am: $2.70 per entry,6.01am-6pm: $2.70 for 1st 2hr; $1.30 for sub. 30min; 6.01pm-6am: $2.70 per entry,6.01am-6pm: $2.70 for 1st 2hr; $1.30 for sub. 30min; 6.01pm-6am: $2.70 per entry
112,Changi Village Hotel,6am-5pm: $4 for 1st hr; $3 for sub. hr,"MJonday - Thursday: 6pm-5am: $6.50 per entry. Friday: 5pm-12am: $4.00 for 1st hr, $3.00 for sub. hr; 12am-5am: $6.50/entry","6am-6am next day: $4 for 1st hr, $3 for sub. hr","6am-6am next day: $4 for 1st hr, $3 for sub. hr"
113,City Plaza,8am-5pm: $1.20 for 1st hr; $0.70 for sub. ½ hr,Aft 5pm: $1.50 per entry,8am-5pm: $1.20 for 1st hr; $0.70 for sub. ½ hr,$1.50 per entry
114,Downtown East,"Mon-Thu (excluding PH, Eve of PH & Sch Hol) $0.026/min; Max/day: $15 Free weekday 12pm-2pm parking; Fri-Sat (Including PH, Eve of PH & Sch Hol) $0.028 per min; 5pm-12am: $3.40 per entry. Max/day: $19.","Mon-Thu (excluding PH, Eve of PH & School Holiday) 5pm-12am: $2.40 per entry. Max/day:$15; Fri: $3.40 per entry.","Fri-Sat (Including PH, Eve of PH & School Holiday) $0.028 per min; 5pm-12am: $3.40 per entry. Max/day: $19.","Fri-Sat (Including PH, Eve of PH & School Holiday) $0.028 per min; 5pm-12am: $3.40 per entry. Max/day: $19."
115,D’Resort,"Mon-Thu (excluding PH, Eve of PH & Sch Holiday) $0.026/min; Max/day: $15; Fri-Sun (Including PH, Eve of PH & Sch Holiday) $0.035/min; Max/day: $21.",-,"Fri-Sun (Including PH, Eve of PH & Sch Holiday) $0.035/min; Max/day: $21.","Fri-Sun (Including PH, Eve of PH & Sch Holiday) $0.035/min; Max/day: $21."
116,East Coast Park E1/E2/E3 Off-Street,7am-10.30pm: 60¢ per 30min (capped at $5 for 10.30pm-7am),-,-,-
117,Eastpoint Mall,"Daily: $1.30 for 1st hr or part thereof, $0.65 for sub. 30min or part thereof.",-,-,-
118,Grand Mecure Roxy Hotel,Daily: $1.60 per hr,-,-,-
119,Holiday Inn Express Singapore Katong,"6.01am-10am: $0.48 for 1st hr, $0.12/15min; 10.01am-6pm: $0.96 for 1st hr; $0.24 for sub. 15min; Free parking from 12pm to 2pm except on PH","6.01pm-10pm: $1.00 for 1st hr, $0.25/15min; 10.01pm-6am: $0.32 for 1st hr, $0.08/15min","6.01am-10am: $0.54 for 1st hr; $0.16/15min; 10.01am-9pm: $1.28 for 1st hr; $0.65/15min. 9.01pm-6am: $0.54 for 1st hr, $0.16/15min","6.01am-10am: $0.54 for 1st hr; $0.16/15min; 10.01am-9pm: $1.28 for 1st hr; $0.65/15min. 9.01pm-6am: $0.54 for 1st hr, $0.16/15min"
120,Hotel Indigo Singapore Katong,"6.01am-10am: $0.48 for 1st hr, $0.12/15min; 10.01am-6pm: $0.96 for 1st hr; $0.24 for sub. 15min; Free parking from 12pm to 2pm except on PH","6.01pm-10pm: $1.00 for 1st hr, $0.25/15min; 10.01pm-6am: $0.32 for 1st hr, $0.08/15min","6.01am-10am: $0.54 for 1st hr; $0.16/15min; 10.01am-9pm: $1.28 for 1st hr; $0.65/15min. 9.01pm-6am: $0.54 for 1st hr, $0.16/15min","6.01am-10am: $0.54 for 1st hr; $0.16/15min; 10.01am-9pm: $1.28 for 1st hr; $0.65/15min. 9.01pm-6am: $0.54 for 1st hr, $0.16/15min"
121,i12 Katong,"6am-9:59am: $0.61 for 1st hr; $0.25 for sub. 15min; 10am-5:59pm: $1.09 for 1st hr, $0.32 for sub. 15min",6pm-5:59am: $3.08 per entry,"6am- 9:59am: $0.71 for 1st hr, $0.45 for sub 15 min; 10am- 5:59pm: $1.50 for 1st 30min; $0.66 for sub. 15min; 6pm-5:59am: $3.20 per entry","6am- 9:59am: $0.71 for 1st hr, $0.45 for sub 15 min; 10am- 5:59pm: $1.50 for 1st 30min; $0.66 for sub. 15min; 6pm-5:59am: $3.20 per entry"
122,IKEA (Tampines),Daily 7am-11pm: free,-,-,-
123,Katong Shopping Centre,7am-5.59pm: $1.20/30min,Aft 6pm: $2.00 per entry,7am-5.59pm: $1.20/30min,$2 per entry
124,Katong Square,"6.01am-10am: $0.50 for 1st hr, $0.20 for sub. 15min; 10.01am-6pm: $1.00 for 1st hr; $0.30 for sub. 15min.",6.01pm-10pm: $2.00 for 1st hr; $0.50 for sub. 15 min; 10.01pm-6am: $2.50 per entry,6.01am-10am: $0.60 for 1st hr; $0.40 for sub. 15min; 10.01am-9pm: $2.00 for 1st hr; $0.50 for sub. 15min; 9.01pm-6am: $2.50 per entry.,6.01am-10am: $0.60 for 1st hr; $0.40 for sub. 15min; 10.01am-9pm: $2.00 for 1st hr; $0.50 for sub. 15min; 9.01pm-6am: $2.50 per entry.
125,Katong V,$1.64 for the first 1 hour; $0.41 for sub. 15min,Per Entry: $2.45 (6pm to midnight),$1.64 for the first 1 hour; $0.41 for sub. 15min,$1.64 for the first 1 hour; $0.41 for sub. 15min
126,Lifelong Learning Institute,6am-6pm: $1.15 per 30min; Max.cap $18 (full day); 12am-6am next day: $12 per entry,6pm-12am: $3.00 per entry,6am-1pm: $1.15 per 30 min block; 1pm-12am: $3 per entry; 12am-6am next day: $12 per entry,6am-12am: $3 per entry; 12am-6am next day: $12 per entry
127,NTUC Income Tampines Junction,"6am-6pm: $1.50 for 1st hr, $0.75 for next sub 30min",6pm-6am next day: $2.50 per entry,"6am-6pm: $1.50 for 1st hr, $0.75 for next sub 30min",6am-6am next day: $3 per entry
128,Parkway Parade,2am-5.59pm: $1.75 first hour; $0.44 for sub. 15min (or part thereof),6pm-1.59am: $3.49/entry,2am-5.59pm: $1.75 first hour; $0.44 for sub. 15min (or part thereof),2am-5.59pm: $1.75 first hour; $0.44 for sub. 15min (or part thereof)
129,Roxy Square,7am-6pm: $0.60 for 1st 30min; $0.70 for sub. 30min,6pm-12am: $2.50 per entry. 12am-7am the following day: $0.70 for sub. 30min,7am-6pm: $0.60 for 1st 30min; $0.70 for sub. 30min,7am-6pm: $0.60 for 1st 30min; $0.70 for sub. 30min
130,Siglap Centre,12am-6pm: $1.68 for the first 1 hour; $0.42 for sub. 15min,Per Entry: $2.45 (6pm to midnight),"12am-6pm: $1.85 for the first 1 hour; $0.46 for sub. 15min; 6pm,-12am: $2.45 Per Entry","12am-6pm: $1.85 for the first 1 hour; $0.46 for sub. 15min; 6pm,-12am: $2.45 Per Entry"
131,Singapore Expo,"Daily: $1.80 for 1st hr, $1.80 for 2nd hr; $1.50 for sub. 30 min or part thereof",-,-,-
132,Singapore University of Technology and Design,"Daily: $0.02 per min, excluding GST.",-,-,-
133,SingPost Centre,"6am-6pm: $1.64 for 1st hr, $0.87 for sub ½ hr or part thereof",6pm-6am: $2.73 per entry,6am-1pm: $1.64 for 1st hr; $0.87 for sub ½ hr or part thereof; 1pm-6am: $2.73 per entry,$2.73 per entry
134,Tampines 1,6am-5.59pm: $1.40 for 1st hr; $0.95/30min,6pm-5.59am: $2.70 per entry,6am-5.59pm: $1.40 for 1st hr; $0.95/30min,6am-5.59pm: $1.40 for 1st hr; $0.95/30min
135,Tampines Mall,12am-5.59pm: $1.35 for 1st hr; $0.45 for sub. 15min or part thereof,6pm-11.59pm: $2.65 per entry,3am-5.59pm: $2.65 for 1st 2hrs; $0.45 for sub. 15min or part thereof; 6pm-11.59pm: $2.65 per entry.12am-2.59am: $0.45 for sub. 15min or part thereof,3am-5.59pm: $2.65 for 1st 2hrs; $0.45 for sub. 15min or part thereof; 6pm-11.59pm: $2.65 per entry.12am-2.59am: $0.45 for sub. 15min or part thereof
136,Tampines Plaza 1 & 2,8am-5pm: $1.02 per ½ hr,5pm to 1am: $2.02 per entry; 1am to 8am: $2.04 for 1st 2hr; $8.15 sub. (after the 1st 2hr),8am-5pm: $1.02 per ½ hr,8am-5pm: $2.55 per entry; 5pm to 1am: $2.02 per entry; 1am to 8am: $2.04 for 1st 2hr; $8.15 subsequent (after the 1st 2hr)
137,Tanjong Katong Complex,7am-10.30pm: 60¢ per 30min (capped at $5 for 10.30pm-7am),-,-,-
138,Telepark,Daily: 7am-10pm: $1.00/30min,10pm-6.59am next day: $1.00/30min (additional carpark exit surcharge of $22),-,-
139,Village Hotel Katong (Ex Paramount Hotel),Daily: $1.08 per hr,-,-,-
140,White Sands Shopping Centre,6am-5.59pm: $1.35 for 1st hr; $0.90/30min,6pm-5.59am: $2.45 per entry,12am-5.59pm: $1.50 for 1st hr or part thereof; $1.10 every 30min or part thereof; 6pm-11.59pm: $2.45 per entry,12am-5.59pm: $1.50 for 1st hr or part thereof; $1.10 every 30min or part thereof; 6pm-11.59pm: $2.45 per entry
141,White Sands Shopping Centre,12am-5.59pm: $1.28 for 1st hr or part thereof; $0.85 for sub 30 mins or part thereof,6pm-11.59pm: $2.40 per entry,12am-5.59pm: $1.44 for 1st hr or part thereof; $1.07 every 30 mins or part thereof; 6pm-11.59pm: $2.40 per entry,12am-5.59pm: $1.44 for 1st hr or part thereof; $1.07 every 30 mins or part thereof; 6pm-11.59pm: $2.40 per entry
142,10 Raeburn Park,"7am-4.59pm : $2.36 for 1st hr or part thereof, $1.16 sub. 30 mins or part thereof.",5pm-6.59am next day: $2.36 per entry.,"7am-4.59pm : $2.36 for 1st hr or part thereof, $1.16 sub. 30 mins or part thereof.",7am-6.59am next day: $2.36 per entry
143,1557 Keppel Road,"7am-6pm: $2.36 for 1st hr, $1.16 every sub 30mins.",6pm-7am (next day): $2.45 per entry.,"7am-6pm: $2.36 for 1st hr, $1.16 every sub 30mins.",7am-7am next day: $2.45 per entry
144,18 Robinson,12am-5.59pm: $3.03 half hourly,6pm-11.59pm: $3.24 per entry,12am-5.59pm: $3.03 half hourly,12am to 11.59pm: $3.24 per entry
145,61 Robinson,8am-5pm: $2.20 per ½ hr,5pm-12am: $3 per entry. $20 per entry after 12midnight,"Charges same as weekdays, but $2.50 per entry after 1pm",7am-12am: $3 per entry
146,Amara Hotel,8am-4.59pm: $2 per 30 mins,5pm-7.59am (next day) : $3 per entry,8am-4.59pm: $2 per 30 mins,8am-7.59m: $3 per entry
147,Asia Square,Tower 1 & 2: 7am-5.59pm: $1.07 per 10 min block or part thereof.,6pm onwards: Tower 1: $5.50 per entry; Tower 2: $5.40 per entry.,7am-6.59am next day: Tower 1: $5.50 per entry; Tower 2: $5.40 per entry.,7am-6.59am next day: Tower 1: $5.50 per entry; Tower 2: $5.40 per entry.
148,AXA Tower,7am-6pm: $2.30 per ½ hr,Aft 6pm: $2.80 per entry,7am-1pm: $2.30 per ½ hr; 1pm-6.59am: $2.80 per entry,7am-7am the following day: $2.80 per entry
149,Bangkok Bank Building,7am-7pm: $2.30 for 1st ½ hr; $4 for sub. hr,7am-7pm: $2.30 for 1st ½ hr; $4 for sub. hr,7am-3pm: $2.30 for 1st ½ hr; $4 for sub. hr,Closed
150,Beach Centre,7am-6pm: $2.16 for 1st 30min; $1.62 per sub.30min,6pm-7am the following day: $4.32 per entry,7am-6pm: $2.16 for 1st 30min; $1.62 per sub.30min,7am-7am the following day: $4.32 per entry
151,Berjaya Hotel,8.30am-5pm: $1 per ½ hr,5pm-10pm: $1 per hr; Aft 10pm: Free,8.30am-5pm: $1 per ½ hr,8.30am-10pm: $1 per hr; 10pm-8.30pm: Free
152,Bugis Junction,12am-5.59pm: $2.60 for 1st hr; $0.43 for sub. 10mins or part thereof,Aft 6pm:Mon-Thu: $3.30 per entry. Fri: $3.30 for 1st 2 hrs; $0.35 for sub. 10 mins or part thereof,$3.30 for 1st 2 hrs; $0.35 for sub. 10 mins or part thereof.,$3.30 for 1st 2 hrs; $0.35 for sub. 10 mins or part thereof.
153,Bugis+,12am-5.59pm: $2.20 for 1st hr; $0.55 for sub. 15 mins,6pm-11.59pm: Mon-Thu: $3.30 per entry; Fri: $3.30 for 1st 2hrs; $0.55 for sub. 15 mins.,$3.30 for 1st 2hrs; $0.55 for sub. 15 mins,$3.30 for 1st 2hrs; $0.55 for sub. 15 mins
154,Burlington Square,7am-4.59pm: $0.04 per min.,5pm-6.59am: $2.20 per entry.,7am-4.59pm: $0.04 per min.,7am-4.59pm: $0.04 per min.
155,CapitaCommercial Trust (CCT),8am-5pm: $2.05/30min,Aft 5pm: $3.10 per entry,Charges same as wkdays but $3.10 per entry after 1pm,$3.10 per entry
156,CapitaGreen,7am-5.59pm: $3.20 every 30 mins,6pm-6.59am (next day): $3.80 per entry,7am-12.59pm: $3.20 every 30 mins; 1pm-6.59am (next day): $3.80 per entry,$3.80 per entry
157,Capital Square,8am-6pm: $2.40/30min,6pm-8am: $3.20 per entry,8am to 8am next day: $3.20 per entry,8am to 8am next day: $3.20 per entry
158,Capital Tower,7am-5.59pm: $2.90 every 30 mins,6pm-6.59am next day: $3.80 per entry,7am-12.59pm: $2.90 every 30 mins; 1pm-6.59am next day: $3.80 per entry,7am-6.59am next day: $3.180 per entry
159,Capitol Piazza,"11am-5.59pm: $2.45 for 1st hr, $0.55 for sub 15 mins.",6pm-10.59pm: $3.45 per entry.,"Sat-Mon 11am-10.59am: $2 for 1st 2 hr, $0.55 for sub 15 mins.","Sat-Mon 11am-10.59am: $2 for 1st 2 hr, $0.55 for sub 15 mins."
160,Carlton Hotel,7am-6pm: $3.50 for 1st hr; $1.50 for for sub. ½ hr or part thereof.,6.01pm-6.59am: $6.50 per entry,7am-6pm: $3.50 for 1st hr; $1.50 for for sub. ½ hr or part thereof.,7am-6pm: $3.50 for 1st hr; $1.50 for for sub. ½ hr or part thereof.
161,Central Mall,7.01am-5pm: $2.40 for 1st hr; $1.20 for sub. ½ hr,5pm-7am next day: $3.60 per entry,7.01am-5pm: $2.40 for 1st hr; $1.20 for sub. ½ hr,7am-7am the next day: $3.60 per entry
162,Central ©,6am-5pm: $2.24 for 1st hr or part thereof; $1.12 for sub. ½ hr or part thereof,5pm-6am next day: $3.56 per entry,6am-5pm: $2.24 for 1st hr or part thereof; $1.12 for sub. ½ hr or part thereof,6am-5.59am next day: $3.56 per entry
163,Chijmes,8am-5.59pm: $0.65 per 15 mins.,6pm-10.59pm: Sun-Thurs: $0.71 per 15 mins. Fri: $0.76 per 15 mins. 11pm-7.59am: Sun-Thurs: $0.50 per 15 mins. Fri: $0.55 per 15 mins.,"8am-5.59pm: $0.71 per 15 mins. Fri, Sat, PH Eve, PH: 6pm-10.59pm: $0.76 per 15 mins. 11pm-7.59am: $0.55 per 15 mins.","8am-5.59pm: $0.71 per 15 mins. Fri, Sat, PH Eve, PH: 6pm-10.59pm: $0.76 per 15 mins. 11pm-7.59am: $0.55 per 15 mins."
164,China Square Central,8am-6pm: $1.80 per ½ hr or part thereof.,Aft 6pm-8am next day: $3 per entry. (12 midnight-6am: Closed),8am-8am next day: $3 per entry. (12 midnight-6am: Closed),8am-8am next day: $3 per entry. (12 midnight-6am: Closed)
165,Chinatown Point,7.01am-5pm: $1.64 for every 30mins or part thereof.,5.01pm-7am: $3.27 per entry,7.01am-5pm: $1.64 for every 30mins or part thereof.,7.01am-5pm: $1.64 for every 30mins or part thereof.
166,City Gate,7am-4.59pm: $1.67 per hr.,5pm-11.59pm: $2.22 per entry; 12am-6.59am the following day: $4.39 per entry.,7am-4.59pm: $1.67 per hr.,7am-11.59pm: $2.22 per hr; 12am-6.59am the following day: $4.39 per entry.
167,Clarke Quay,7am-6.59am (next morning): $1.35 for 1st hr; $0.45 for sub. 15 mins,$1.35 for 1st hr; $0.45 for sub. 15 mins,7am-6.59am (next morning): $1.35 for 1st hr; $0.45 for sub. 15 mins,7am-6.59am (next morning): $2.75 per entry
168,Clarke Quay Central,6am-5pm: $2.22 for 1st hr; $1.11 for sub 30min,5pm-6am the followng day: $3.53 per entry,6am-5pm: $2.22 for 1st hr; $1.11 for sub 30min,6am-6am the followng day: $3.53 per entry
169,Clifford Centre,7am-4.59pm: $2.50 per 30 mins.,5pm-12 midnight: $3 per entry. 12.01am-7am (next day): $3 per entry.,7am-4.59pm: $2.50 per 30 mins.,Closed.
170,Conrad Centennial Hotel,7am-6pm: $3.40 for 1st hr; $1.20 per sub.½ hr (Millenia Singapore - Basement Carpark),6pm-7am: $2.30 per entry,7am-7am: $2.30 for 1st 2hrs; $1.20 per sub. 1hr,7am-7am: $2.30 for 1st 2hrs; $1.20 per sub. 1hr
171,Copthorne King's Hotel,7am-12am: $4 for 1st hr; $1.50 for sub ½ hr,Aft 12am: $4 for 1st hr; $2 for sub ½ hr,7am-12am: $4 for 1st hr; $1.50 for sub ½ hr,7am-12am: $4 for 1st hr; $1.50 for sub ½ hr
172,CPF Building Robinson Road,6am-5pm:$1.50 per ½ hr,Closed at 5pm. Cars remaining from 5pm onward will be charged an additional flat rate of $5,Closed,Closed
173,Far East Square,6am-5.59pm: $4.36 for 1st hr; $1.09 sub 15 mins,6pm-12am: $3.27 per entry.,$3.27 per entry.,$3.27 per entry.
174,Far Eastern Bank Building,7am-6pm: $2.50 per 30min,6.30pm-7am: $3.20 per entry,7am-1pm: $2.50/30min; 1pm-7am: $3.20 per entry,Closed
175,Fortune Centre,7am-5pm: $3.22 per hr,5pm-7am next day: $4.82 per entry,7am-5pm: $3.22 per hr,7am-5pm: $3.22 per hr
176,Fu Lu Shou Complex,8am to 5pm: $1.20 per 30mins,5pm-11pm: $2.20 per entry,8am to 5pm: $1.20 per 30mins,8am to 5pm: $1.20 per 30mins
177,Fullerton Hotel,7.01am-6pm: $1.20 per 10 mins,6.01pm-12am: $6.54 per entry. 12.01am-7am-$7.63 per entry,7.01am-12am: $6.54 per entry; 12.01am-7am-$7.63 per entry,7.01am-12am: $6.54 per entry; 12.01am-7am-$7.63 per entry
178,Funan,"12am-5.59pm: $2.40 for 1st hr, $0.65 for sub 15min.",6pm-11.59pm: $3.30 per entry.,"12am-2.59pm: Every 15mins of part thereof at $0.65. 3am-5.59pm: $2.60 for 1st 2hr, $0.65 for sub 15min or part thereof . 6pm to 11.59pm: $3.30 per entry.","12am-2.59pm: Every 15mins of part thereof at $0.65. 3am-5.59pm: $2.60 for 1st 2hr, $0.65 for sub 15min or part thereof . 6pm to 11.59pm: $3.30 per entry."
179,Furama City Centre Singapore,5.59am-6pm: $1.70 per ½ hr,Aft 6pm: $3.21 per entry,Same as wkdays,$3.21 per entry
180,Furama Riverfront Singapore,7am-5pm: $1.07 per ½ hr,Aft 5pm: $6.42 per entry,7am-5pm: $1.07 per ½ hr,7am-5pm: $1.07 per ½ hr
181,Genting Centre,"7am-7pm: $3 for 1st hr, $2 for sub ½ hr.",Aft 7pm: $3 per entry.,"7am-7pm: $3 for 1st hr, $2 for sub ½ hr.",7am-7pm: $3 per entry. Aft 7pm: $3 per entry.
182,Golden Landmark Shopping Complex,8am-5pm: $2.35 for 1st hr $1.07 for sub ½ hr. or part thereof,Aft 5pm: $2.68 per entry.,8am-5pm: $2.35 for 1st hr $1.07 for sub ½ hr. or part thereof,8am-8am the following day: $2.68 per entry.
183,Golden Mile Tower,7am-7pm: $2.82 per hr,7pm-7am the following day: $2.31 per hr,7am-7pm: $2.82 per hr,7am-7pm: $2.82 per hr
184,GR.iD,"7am-5.59pm: $3 for 1st hr, $1.50 sub 30min",6pm-6.59am next day: $3.50 per entry,"7am-5.59pm: $3 for 1st hr, $1.50 sub 30min",$3.50 per entry
185,Grand Copthorne Waterfront Hotel,7am-5pm: $3.75 for 1st hr; $2.14 for sub. hr,5pm-7am next day: $4.28 per entry,7am-5pm: $3.75 for 1st hr; $2.14 for sub. hr,7am to 7am next day: $4.28 per entry
186,Grand Park City Hall Hotel,8am-5pm: $3.28 for 1st hr; $1.55 for sub. 30 mins,5pm-8am next day: $5.35 per entry,8am-5pm: $3.28 for 1st hr; $1.55 for sub. 30 mins,8am-5pm: $3.28 for 1st hr; $1.55 for sub. 30 mins
187,Great Eastern Centre,8am-6pm: $1.80 per ½ hr (Car park at China square central; B2 closed from 12am-6am daily),6pm-7.59am: $3.30 per entry,6am-8am next day: $3.30 per entry,8am to 5.59am next day: $3.30 per entry
188,Great World City,6.01am-5pm: $1.55 per hr + GST,5.01pm-6am next day: $3.30 per entry + GST,6am to 6am next day: $1.65 per hr + GST (Max. of $6 per entry + GST),6am to 6am next day: $1.65 per hr + GST (Max. of $6 per entry + GST)
189,Guoco Midtown,7am-4.59pm: $2.42 for 1st hr; $1.21 for sub. 30 min.,5pm-6.59am: $3.53 per entry.,7am-6.59am (next day): $3.53 per entry,7am-6.59am (next day): $3.53 per entry
190,Guoco Tower,7am-4.59pm: $4.10 per 30 mins for Carpark A. $2.50 per 30 mins for Carpark B.,5pm-6.59am: $3.50 per entry.,7am-6.59am (the next day): $3.50 per entry,7am-6.59am: $3.50 per entry
191,Harbourfront Centre,7am-6pm: $1.60 for 1st hr; $0.80 for sub. 30 mins,6pm-4am: $3.20 per entry; 4am-7am: $2.50 per hr,7am-6pm: $1.80 for 1st hr; $0.90 for sub. 30 mins. 6pm-4am: $3.50 per entry; 4am-7am: $2.50 per hr.,7am-6pm: $1.60 for 1st hr; $0.80 for sub. 30 mins
192,Havelock 2,7am-4.59pm: $1.50 per ½ hr,5pm-6.59am: $3.00 per entry,7am-4.59pm: $1.50 per ½ hr,7am-6.59am: $3.00 per entry
193,Holiday Inn Singapore Atrium,All day : S$2.00 per hour,All day : S$2.00 per hour,All day : S$2.00 per hour,All day : S$2.00 per hour
194,Hong Leong Building,7am-5pm: $3.00 per ½ hr,6pm-6am next day: $2 per hour,7am-12.59pm: $3.00 per ½ hr; 1pm-6.59am: $2.00/hr,7am-6.59am next day: $2.00/hr
195,Hotel Grand Pacific,7am-5pm: $1.50 per ½ hr,Aft 5pm: $4 per entry,7am-5pm: $1.50 per ½ hr,7am-7am next day: $4 per entry
196,Hub Synergy Point,7am-6pm: $2.60/hr,6pm-12am: $1/hr,7am-2pm: $1 per ½ hr; 2pm-12am: $1/hr,7am-12am: $1/hr
197,Ibis Singapore On Bencoolen Hotel,8am-5pm: $1.50 per 30min.,5pm-8am: $1.50 per 30min.,8am-5pm: $1.50 per 30min.,8am-5pm: $1.50 per 30min.
198,Icon Village,"7am-11.59am: $1.62 per ½ hr or part thereof. 12pm-1.59pm: 1st hr free, then $1.62 per ½ hr or part thereof. 2pm-4.59pm:$1.62 per ½ hr or part thereof.",5pm-6.59am next day: $3.24 per entry,7am-12.59am: $1.62 per ½ hr or part thereof. 1pm-6.59am next day: $3.24 per entry.,7am-6.59am next day: $3.24 per entry.
199,Income @ Prinsep,7am-7pm: $1.25 per ½ hr,7.01pm-6.59am: $3.50 per entry,7am-5pm: $1.25 per ½ hr; 5.01pm-6.59am: $3.50 per entry,7am-6.59am: $3.50 per entry
